,0,1
624,(주)케이씨티시,NNG
625,(주)케이에스에스해운,NNG
626,(주)케이에이치필룩스,NNG
627,(주)케이이씨,NNG
628,(주)케이티,NNG
629,(주)케이티스카이라이프,NNG
630,(주)케이티씨에스,NNG
631,(주)케이티아이에스,NNG
632,(주)케이티앤지,NNG
633,(주)코리아써키트,NNG
634,(주)풍산홀딩스,NNG
635,(주)하나투어,NNG
636,(주)진도,NNG
637,(주)화승코퍼레이션,NNG
638,(주)현대미포조선,NNG
639,(주)현대백화점,NNG
640,(주)현대지에프홀딩스,NNG
641,(주)현대퓨처넷,NNG
642,(주)현대홈쇼핑,NNG
643,(주)혜인,NNG
644,(주)호텔신라,NNG
645,(주)화승인더스트리,NNG
646,(주)화신,NNG
647,(주)하이스틸,NNG
648,(주)화인베스틸,NNG
649,(주)황금에스티,NNG
650,(주)효성,NNG
651,(주)후성,NNG
652,(주)휠라홀딩스,NNG
653,(주)휴니드테크놀러지스,NNG
654,(주)휴비스,NNG
655,(주)휴스틸,NNG
656,(주)현대리바트,NNG
657,(주)한화,NNG
658,(주)한컴라이프케어,NNG
659,(주)한창제지,NNG
660,(주)하이트론씨스템즈,NNG
661,(주)한국전자홀딩스,NNG
662,(주)한국종합기술,NNG
663,(주)한국카본,NNG
664,(주)한국특강,NNG
665,(주)한국화장품제조,NNG
666,(주)한농화성,NNG
667,(주)한독,NNG
668,(주)한미글로벌건축사사무소,NNG
669,(주)한샘,NNG
670,(주)한섬,NNG
671,(주)한솔케미칼,NNG
672,(주)한솔홈데코,NNG
673,(주)한익스프레스,NNG
674,(주)한진,NNG
675,(주)한진중공업홀딩스,NNG
676,(주)한창,NNG
677,(주)진양홀딩스,NNG
678,(주)콘텐트리중앙,NNG
679,(주)우진플라임,NNG
680,(주)웅진씽크빅,NNG
681,(주)이월드,NNG
682,(주)주연테크,NNG
683,(주)유니드,NNG
684,(주)유유제약,NNG
685,(주)인디에프,NNG
686,(주)제주항공,NNG
687,(주)종근당홀딩스,NNG
688,(주)종근당바이오,NNG
689,(주)인바이오젠,NNG
690,(주)웅진,NNG
691,(주)제일기획,NNG
692,(주)유한양행,NNG
693,(주)조흥,NNG
694,(주)원림,NNG
695,(주)유니온,NNG
696,(주)유수홀딩스,NNG
697,(주)위스컴,NNG
698,(주)인스코비,NNG
699,(주)인팩,NNG
700,(주)조비,NNG
701,(주)일신석재,NNG
702,(주)윌비스,NNG
703,(주)제이에스코퍼레이션,NNG
704,(주)잇츠한불,NNG
705,(주)이원,NNG
706,(주)우진,NNG
707,(주)지투알,NNG
708,(주)이수페타시스,NNG
709,(주)이수화학,NNG
710,(주)이마트,NNG
711,(주)지에스리테일,NNG
712,(주)지에스글로벌,NNG
713,(주)이노션,NNG
714,(주)이스타코,NNG
715,(주)지에스,NNG
716,(주)지누스,NNG
717,(주)이엔플러스,NNG
718,(주)이아이디,NNG
719,(주)우진아이엔에스,NNG
720,삼성바이오로직스(주),NNG
721,일진하이솔루스(주),NNG
722,한국타이어앤테크놀로지(주),NNG
723,(주)유니켐,NNG
724,(주)엔에스쇼핑,NNG
725,애경케미칼(주),NNG
726,롯데푸드(주),NNG
727,동일고무벨트(주),NNG
728,코오롱머티리얼(주),NNG
729,동아에스티(주),NNG
730,(주)부산도시가스,NNG
731,아세아시멘트(주),NNG
732,에스비에스미디어홀딩스(주),NNG
733,(주)폴루스바이오팜,NNG
734,(주)종근당,NNG
735,(주)한진칼,NNG
736,엔에이치엔(주),NNG
737,(주)쏘카,NNG
738,한국콜마(주),NNG
739,(주)동성화학,NNG
740,(주)한화갤러리아타임월드,NNG
741,(주)더블유게임즈,NNG
742,한국제지(주),NNG
743,(주)바이오노트,NNG
744,코리아오토글라스(주),NNG
745,디와이파워(주),NNG
746,코스맥스(주),NNG
747,(주)서연이화,NNG
748,웅진에너지(주),NNG
749,(주)삼양패키징,NNG
750,(주)신한,NNG
751,에이치엘만도(주),NNG
752,고려개발(주),NNG
753,두산건설(주),NNG
754,두산밥캣(주),NNG
755,엘에스전선아시아(주),NNG
756,현대코퍼레이션홀딩스(주),NNG
757,알보젠코리아(주),NNG
758,(주)사조해표,NNG
759,(주)화승엔터프라이즈,NNG
760,한솔제지(주),NNG
761,해성디에스(주),NNG
762,한국유리공업(주),NNG
763,일동제약(주),NNG
764,대덕GDS(주),NNG
765,성지건설(주),NNG
766,(주)하이브,NNG
767,샘표식품(주),NNG
768,(주)솔루엠,NNG
769,(주)오리온,NNG
770,(주)케이씨텍,NNG
771,제일약품(주),NNG
772,롯데정보통신(주),NNG
773,(주)대성합동지주,NNG
774,미원스페셜티케미칼(주),NNG
775,롯데웰푸드(주),NNG
776,에이치디현대건설기계(주),NNG
777,에이치디현대일렉트릭(주),NNG
778,(주)크라운제과,NNG
779,(주)보루네오가구,NNG
780,쿠쿠홈시스(주),NNG
781,케이카(주),NNG
782,동아타이어공업(주),NNG
783,에이치디현대에너지솔루션(주),NNG
784,(주)넥솔론,NNG
785,HD현대(주),NNG
786,(주)비지에프리테일,NNG
787,(주)경동도시가스,NNG
788,에스케이케미칼(주),NNG
789,중국원양자원유한공사,NNG
790,한일시멘트(주),NNG
791,경남에너지(주),NNG
792,(주)엘지생명과학,NNG
793,효성중공업(주),NNG
794,(주)한진해운,NNG
795,효성첨단소재(주),NNG
796,효성티앤씨(주),NNG
797,현대페인트(주),NNG
798,효성화학(주),NNG
799,한화화인케미칼(주),NNG
800,한솔아트원제지(주),NNG
801,평산차업집단유한공사,NNG
802,(주)포스코플랜텍,NNG
803,에이치디씨현대산업개발(주),NNG
804,에스케이바이오사이언스(주),NNG
805,(주)신성이엔지,NNG
806,(주)신성에프에이,NNG
807,(주)카카오페이,NNG
808,(주)티이씨앤코,NNG
809,태림페이퍼(주),NNG
810,(주)세아제강,NNG
811,(주)삼양제넥스,NNG
812,에이치디현대중공업(주),NNG
813,삼환기업(주),NNG
814,두산퓨얼셀(주),NNG
815,에스케이(주),NNG
816,현대하이스코(주),NNG
817,경남기업(주),NNG
818,솔루스첨단소재(주),NNG
819,에스케이아이이테크놀로지(주),NNG
820,(주)신일건업,NNG
821,삼성물산(주),NNG
822,대덕전자(주),NNG
823,(주)삼양엔텍,NNG
824,STX조선해양(주),NNG
825,제일모직(주),NNG
826,(주)케이씨씨글라스,NNG
827,제이에스전선(주),NNG
828,유니온스틸(주),NNG
829,(주)엘지에너지솔루션,NNG
830,(주)티와이홀딩스,NNG
831,(주)파브코,NNG
832,(주)로케트전기,NNG
833,(주)동양건설산업,NNG
834,(주)알앤엘바이오,NNG
835,(주)화승알앤에이,NNG
